Name,Actor 1,Cluster,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Year,Year,Votes,Votes,Duration,Duration,Dir_enc,A1_enc,A2_enc,A3_enc,G_mean_rat
#Gadhvi (He thought he was Gandhi),Rasika Dugal,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019,8,8,109,109,7.0,6.85,7.0,7.0,6.055890973036343
#Yaaram,Prateik,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,2019,35,35,110,110,4.4,5.45,4.4,4.4,5.774774254768754
...Aur Pyaar Ho Gaya,Bobby Deol,7,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1997,1997,827,827,147,147,5.3428571428571425,4.8125,5.8538461538461535,6.111111111111111,6.042485489764394
...Yahaan,Jimmy Sheirgill,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2005,2005,1086,1086,142,142,7.383333333333333,5.521052631578947,6.933333333333334,6.257142857142857,5.964281832537149
?: A Question Mark,Yash Dave,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2012,2012,326,326,82,82,5.6,5.6,6.08,5.6,5.441208665254448
@Andheri,Augustine,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,2014,11,11,116,116,4.0,4.0,4.55,4.0,5.662154860963301
1:1.6 An Ode to Lost Love,Rati Agnihotri,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2004,17,17,96,96,6.2,5.4799999999999995,5.45,5.233333333333333,6.055890973036343
1:13:7 Ek Tera Saath,Pankaj Berry,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,2016,59,59,120,120,5.9,6.066666666666666,5.9,5.9,4.7897727272727275
100 Days,Jackie Shroff,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1991,1991,983,983,161,161,4.758333333333334,5.16,5.741176470588235,4.88,5.402645801776903
100% Love,Jeet,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,2012,512,512,166,166,5.7,6.300000000000001,5.7,5.7,5.868479827524617
102 Not Out,Amitabh Bachchan,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,2018,6619,6619,102,102,6.225,6.183870967741936,6.3950000000000005,6.125,5.903885336142231
10ml LOVE,Neil Bhoopalam,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,2010,162,162,87,87,6.866666666666667,6.3,6.3,6.933333333333334,5.868479827524617
12 O'Clock,Guru Dutt,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1958,1958,72,72,132,132,6.369230769230769,7.425,6.836,6.791666666666667,5.93692567872625
12 O'Clock,Mithun Chakraborty,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2021,2021,63,63,105,105,5.66,5.3094117647058825,6.075,4.866666666666667,5.205134297520662
127 B,Mast Ali,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017,2017,26,26,116,116,6.6,6.6,6.6,6.6,5.270826213260424
13B: Fear Has a New Address,Madhavan,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2009,2009,6329,6329,146,146,5.898232868643235,6.8,6.5,5.9625,5.586340367010364
15 Park Avenue,Shabana Azmi,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005,1002,1002,116,116,6.816666666666666,6.877419354838709,7.340000000000001,6.34,6.055890973036343
15th August,Ronit Roy,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1993,15,15,168,168,6.05,5.45,5.3,5.415,6.055890973036343
