Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,genre_list,Year_norm,Duration_norm,Rating_norm,Votes_log,actors_list,director_list,apriori_items
#Gadhvi (He thought he was Gandhi),2019,109,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Drama'],0.9777777777777777,0.3395638629283489,0.7,2.1972245773362196,"['Rasika Dugal', 'Vivek Ghamande', 'Arvind Jangid']",['Gaurav Bakshi'],"['Drama', 'Rasika Dugal', 'Vivek Ghamande', 'Arvind Jangid', 'Gaurav Bakshi']"
#Yaaram,2019,110,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"['Comedy', 'Romance']",0.9777777777777777,0.3426791277258567,0.44000000000000006,3.58351893845611,"['Prateik', 'Ishita Raj', 'Siddhant Kapoor']",['Ovais Khan'],"['Comedy', 'Romance', 'Prateik', 'Ishita Raj', 'Siddhant Kapoor', 'Ovais Khan']"
...Aur Pyaar Ho Gaya,1997,147,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"['Comedy', 'Drama', 'Musical']",0.7333333333333333,0.45794392523364486,0.47000000000000003,6.71901315438526,"['Bobby Deol', 'Aishwarya Rai Bachchan', 'Shammi Kapoor']",['Rahul Rawail'],"['Comedy', 'Drama', 'Musical', 'Bobby Deol', 'Aishwarya Rai Bachchan', 'Shammi Kapoor', 'Rahul Rawail']"
...Yahaan,2005,142,"Drama, Romance, War",7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"['Drama', 'Romance', 'War']",0.8222222222222222,0.4423676012461059,0.74,6.99117688712121,"['Jimmy Sheirgill', 'Minissha Lamba', 'Yashpal Sharma']",['Shoojit Sircar'],"['Drama', 'Romance', 'War', 'Jimmy Sheirgill', 'Minissha Lamba', 'Yashpal Sharma', 'Shoojit Sircar']"
?: A Question Mark,2012,82,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"['Horror', 'Mystery', 'Thriller']",0.9,0.2554517133956386,0.5599999999999999,5.7899601708972535,"['Yash Dave', 'Muntazir Ahmad', 'Kiran Bhatia']",['Allyson Patel'],"['Horror', 'Mystery', 'Thriller', 'Yash Dave', 'Muntazir Ahmad', 'Kiran Bhatia', 'Allyson Patel']"
@Andheri,2014,116,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['Action', 'Crime', 'Thriller']",0.9222222222222223,0.3613707165109034,0.4,2.4849066497880004,"['Augustine', 'Fathima Babu', 'Byon']",['Biju Bhaskar Nair'],"['Action', 'Crime', 'Thriller', 'Augustine', 'Fathima Babu', 'Byon', 'Biju Bhaskar Nair']"
1:1.6 An Ode to Lost Love,2004,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Drama'],0.8111111111111111,0.29906542056074764,0.62,2.8903717578961645,"['Rati Agnihotri', 'Gulshan Grover', 'Atul Kulkarni']",['Madhu Ambat'],"['Drama', 'Rati Agnihotri', 'Gulshan Grover', 'Atul Kulkarni', 'Madhu Ambat']"
1:13:7 Ek Tera Saath,2016,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Horror'],0.9444444444444444,0.37383177570093457,0.5900000000000001,4.0943445622221,"['Pankaj Berry', 'Anubhav Dhir', 'Hritu Dudani']",['Arshad Siddiqui'],"['Horror', 'Pankaj Berry', 'Anubhav Dhir', 'Hritu Dudani', 'Arshad Siddiqui']"
100 Days,1991,161,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,"['Horror', 'Romance', 'Thriller']",0.6666666666666666,0.5015576323987538,0.65,6.891625897052253,"['Jackie Shroff', 'Madhuri Dixit', 'Javed Jaffrey']",['Partho Ghosh'],"['Horror', 'Romance', 'Thriller', 'Jackie Shroff', 'Madhuri Dixit', 'Javed Jaffrey', 'Partho Ghosh']"
100% Love,2012,166,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"['Comedy', 'Drama', 'Romance']",0.9,0.5171339563862928,0.5700000000000001,6.240275845170769,"['Jeet', 'Koyel Mallick', 'Sujoy Ghosh']",['Rabi Kinagi'],"['Comedy', 'Drama', 'Romance', 'Jeet', 'Koyel Mallick', 'Sujoy Ghosh', 'Rabi Kinagi']"
