Actor 3,MeanRating
A.K. Hangal,6.185714285714286
Aachi Manorama,6.55
Aadi,8.6
Aaditya Singh,5.8
Aahana Kumra,5.6
Aamir Ali,3.6
Aamir Bashir,6.5
Aamir Ghani,4.3
Aamir Khan,6.779999999999999
Aamrik Arjun,5.8
Aanaahad,6.3
Aaran,6.400000000000001
Aarav Mavi,3.1
Aardra Athalye,6.6
Aarnaa Sharma,6.0
Aarti Chhabria,4.1
Aartii Naagpal,2.6
Aarun D. Baliean,7.2
Aaryan Menghji,7.3
Aashish Chaudhary,4.0
Aasif Mandvi,5.8
Aasif Sheikh,5.533333333333334
Aastha Gautam,7.3
Abbas,5.74
Abbas Ali,6.7
Abdul Rehman Kabuli,6.0
Abdullah Osman,2.7999999999999994
Abhay Bhargava,5.9
Abhay Chopra,6.5
Abhay Deol,7.266666666666666
Abhay Joshi,6.099999999999999
Abhay Mahajan,6.2
Abhi Bhattacharya,5.82
Abhijit Kelkar,7.900000000000001
Abhilash Dada,8.6
Abhimanyu Singh,4.970000000000001
Abhinay Banker,8.4
Abhisek Pandey,5.6
Abhishek Bachchan,4.33
Abhishek Bajaj,6.6
Abhishek Bardia,6.9
Abhishek Chatterjee,7.4
Abhishek Mahendru,5.4
Abhishek Reddy,7.8
Abka Chuliya,7.6
Abraham Sofaer,6.2
Abu Lala,5.4
Abudhar Al Hassan,9.1
Abuli Mamaji,7.2
Achala Sachdev,7.0
Achint Kaur,6.3428571428571425
Achyut Potdar,7.1
Adah Sharma,6.8
Adam Avil,2.7
Adarsh Gourav,6.4
Adhyayan Suman,3.4
Adi Irani,6.028571428571428
Adil Hussain,7.6499999999999995
Aditi Charak,8.2
Aditi Govitrikar,5.0600000000000005
Aditi Rao Hydari,6.199999999999999
Aditi Sharma,5.7
Aditi Singh,6.0
Aditi Vasudev,7.3
Aditya Bhattacharya,6.0
Aditya Gupte,8.5
Aditya Kumar,4.9
Aditya Lakhia,3.2999999999999994
Aditya Pancholi,4.712
Aditya Rajput,4.6
Aditya Roy Kapoor,5.6499999999999995
Aditya Seal,5.55
Aditya Srivastav,7.328571428571428
Adnan Khalid,6.2
Adyasha,3.5
Aftab Shivdasani,4.521428571428571
Agha,6.624
Agha Jani Kashmiri,6.3
Aham Sharma,2.7
Ahindra Choudhury,7.05
Ahmed Chaudhary,6.3
Ahmer Haider,8.6
Ahsaas Channa,3.9125
Aiden Angeli,5.2
Aino Annuddin,6.7
Aisha Sharma,5.7
Aishwarya Lekshmi,4.5
Aishwarya Rai Bachchan,6.0600000000000005
Ajay,5.6
Ajay Azad Singh,2.8
Ajay Chaudhary,5.7
Ajay Devgn,5.558333333333334
Ajay Gatlewar,6.4
Ajay Jadeja,4.0
Ajay Kumar,6.7
Ajay Mankotia,4.6
Ajayan Adoor,7.0
Ajaz Khan,6.44
Ajit,6.4
Ajit Singh Arora,6.5
Ajit Vachani,4.7
Ajitesh Gupta,6.95
Akanksha,7.4
Akansha,4.6
Akansha Ranjan Kapoor,5.4
Akansha Shivhare,7.0
Akash Ajmera,5.2
Akash Hora,4.2
Akash Kumar,9.4
Akash Sharma,4.5
Akhilendra Mishra,7.8
Akkash Basnet,6.1
Akram Khan,8.0
Akshara Haasan,4.25
Akshay Anand,4.3
Akshay Bhagat,6.1
Akshay Kumar,5.088888888888889
Akshay Mhatre,7.0
Akshaye Khanna,5.944444444444445
Alankrita Bora,4.3
Alankrita Sahai,7.2
Alanna Blair,6.4
Alaudeen,5.5
Alayana Sharma,2.5
Aleksey Batalov,7.6
Alexander Gifford,6.5
Ali,4.1000000000000005
Ali Fazal,5.666666666666667
Ali Haider,7.8
Ali Zafar,5.8
Alibail Blackburn,4.8
Aliza,6.8
Alka,7.2
Alka Amin,5.375
Allari Naresh,4.9
Alok Chaturvedi,4.6
Alok Kumar,6.2
Alok Nath,6.0625
Aloknath Pathak,8.6
Alpana,5.3
Amaan f Khan,6.8
Amala Akkineni,6.1
Aman Gupta,8.8
Aman Jain,8.8
Aman Sandhu,5.9
Amar,7.3
Amardeep Insan,5.8
Amarjeet Amle,5.5
Ambika,6.783333333333332
Ambika Johar,6.5
Ameesha Patel,4.338888888888889
Ameeta,6.959999999999999
Ameya Pandya,4.2
Amin Gazi,3.8000000000000003
Amir Banu,7.2
Amiran Winter,6.8
Amit Behl,5.525
Amit Bhardwaj,5.6
Amit Bimrot,7.2
Amit Dawar,5.4
Amit Kumar,8.2
Amit Misra,8.0
Amit Mistry,7.3
Amit Pachori,4.775
Amit Phalke,6.9
Amit Purohit,5.4
Amita Nangia,4.6
Amitabh Bachchan,6.836956521739131
Amitabh Dayal,5.7
Amitabh Gupta,9.3
Amjad Khan,5.558064516129033
Amol Palekar,7.325
Amol Parashar,5.15
Amole Gupte,5.7
Amrish Puri,5.984375
Amrit Patel,8.0
Amrita Arora,4.066666666666666
Amrita Prakash,6.8
Amrita Puri,5.0
Amrita Singh,5.3025
Amruta Khanvilkar,4.0
Amruta Subhash,6.333333333333333
Amrutha Karagada,7.900000000000001
Amy Jackson,5.550000000000001
Amyra Dastur,5.900000000000001
Anahita Bhooshan,8.7
Anaika Soti,5.900000000000001
Anamika,8.4
Anamika Raj,7.7
Anand,4.4
Anand Abhyankar,5.2
Anand Bhosle,8.6
Anand Grover,6.3
Anand Kumar,7.900000000000001
Anand Tiwari,7.4
Ananda Karekar,5.7
Anandee Tripathi,6.2
Anang Desai,5.75
Anant Nag,7.257142857142857
Ananya Chatterjee,5.775
Ananya Panday,5.7
Anastasia Fullfina,6.3
Anders Granstr�m,5.5
Andrea Jeremiah,6.8
Anees Khatoon,7.2
Angad Bedi,6.3500000000000005
Angel Tom Karumathy,6.3
Aniket Dhawalshankh,8.2
Anil Bhavnani,5.2
Anil Chatterjee,5.5
Anil Chaudhary,5.7
Anil Dhawan,5.191666666666666
Anil George,6.400000000000001
Anil Grover,6.9
Anil Kapoor,5.527777777777778
Anil Kumar,6.1000000000000005
Anil Nagrath,5.6
Anil Pandya,6.9
Anima Pagare,5.8
Anindita Nayar,5.4
Anirban Roy,6.5
Anita Guha,7.166666666666667
Anita Hassanandani Reddy,5.2
Anita Kanwar,7.0
Anita Raj,5.0
Anjala Zaveri,5.75
Anjali Devi,5.7
Anjali Kadam,6.9
Anjali Kholapure,2.9
Anjali Patil,6.95
Anjali Tendulkar,8.6
Anjan Srivastav,4.6
Anjana Mumtaz,6.599999999999999
Anjori Alagh,6.400000000000001
Anju Mahendru,7.2
Ankit Gajera,6.1
Ankit Raaj,4.9
Ankita,7.9
Ankita Bahuguna,9.0
Ankita Sahu,8.3
Ankita Shrivastav,7.5
Ankush Chaudhari,6.8
Anmol Khatri,5.1
Annu Kapoor,6.98
Anokhi Dalvi,5.4
Anoop Kumar,7.4
Anshu Khatri,8.4
Anshul Kataria,6.5
Anshuman Malhotra,5.7
Antara Mali,5.3
Antonia Bernath,4.5
Anu Agrawal,3.7000000000000006
Anu Choudhury,6.9
