Director,MeanRating
A. Bhimsingh,6.810344827586207
A. Jagannathan,5.833333333333333
A. Majid,5.7
A. Muthu,3.0
A. Salaam,5.25
A. Shamsheer,6.0
A. Veerappan,6.0
A.C. Trilogchander,6.975
A.K. Bir,8.2
A.L. Vijay,5.5
A.M.R. Ramesh,6.900000000000001
A.P. Nagarajan,7.3
A.P. Subbaraav,6.599999999999999
A.R. Murugadoss,6.699999999999999
A.T. Joy,3.1
A.T. Raghu,5.1
Aadish Keluskar,6.0
Aakkoo,5.8
Aamir Bashir,6.4
Aamir Khan,8.4
Aamreeta Gautam,5.9
Aanand L. Rai,6.378571428571428
Aanand Raut,7.1
Aarif Sheikh,5.7
Aarti S. Bagdi,7.2
Aarun Nagar,7.0
Aaryaan Saxena,5.4
Aashish Chanana,6.2
Aatish Kapadia,7.2
Aban Bharucha Deohans,6.6
Abbas Alibhai Burmawalla,5.779245283018868
Abbas Tyrewala,6.8
Abdul Qayyoom Khan,4.1
Abdul Rashid Kardar,6.654545454545455
Abdul Sattar,8.8
Abhay Chhabra,6.6
Abhay Chopra,5.64
Abhigyan Jha,5.8
Abhijeet Kumar,6.099999999999999
Abhijit Kokate,4.7
Abhijit Panse,5.2
Abhimanyu Chauhan,7.7
Abhinav Kashyap,4.8999999999999995
Abhinav Shiv Tiwari,6.2
Abhinav Thakur,5.85
Abhinay Deo,6.433333333333334
Abhiraj Minawala,3.0
Abhiram,3.2999999999999994
Abhishek Chaubey,7.574999999999999
Abhishek Chhadha,4.7
Abhishek Dixit,5.7
Abhishek Dogra,4.85
Abhishek Jain,8.1
Abhishek Jawkar,4.3
Abhishek Kapoor,6.254545454545454
Abhishek Pathak,6.9
Abhishek Saxena,5.333333333333333
Abhishek Sharma,5.9
Abhishek Utkarsh Deokar,5.9
Abhishek Varman,5.58
Abir Sengupta,3.0
Abrar Alvi,8.3
Adam Avil,2.7
Adam Dow,6.099999999999999
Adarsh Eshwarappa,7.900000000000001
Adarsh Jain,5.3
Adeeb Rais,5.2
Adi Irani,4.3
Aditi Roy,7.1
Aditya Bhattacharya,7.5
Aditya Chopra,6.4363636363636365
Aditya Datt,5.123076923076923
Aditya Dhar,8.2
Aditya Kripalani,7.766666666666667
Aditya Om,6.425
Aditya Sarpotdar,6.9799999999999995
Aditya Warang,7.4
Adurthi Subba Rao,6.733333333333333
Advait Chandan,7.8
Afzal Ahmad,5.3
Agneya Singh,5.599999999999999
Agrawal Mukesh Narayan,4.0
Ahathian,4.96
Ahishor Solomon,5.599999999999999
Ahmed Khan,3.4899999999999998
Aijaz Khan,6.3999999999999995
Ajai Sinha,4.15
Ajay Bahl,7.25
Ajay Bhuyan,5.400000000000001
Ajay Chandhok,3.0785714285714287
Ajay Devaloka,5.1
Ajay Devgn,6.08
Ajay Govind,6.3
Ajay K Saklani,8.2
Ajay Karthik,7.099999999999999
Ajay Kashyap,4.825
Ajay Kumar,6.0
Ajay Lohan,2.9
Ajay Mehra,4.35
Ajay Naik,6.5
Ajay Pannalal,5.6
Ajay Phansekar,6.1
Ajay Yadav,3.65
Ajeet Kumar,7.0
Ajit Dewani,4.62
Ajit P. Bhairavkar,4.8
Ajit Pal Mangat,3.8
Ajit Singh Deol,6.1
Ajit Sinha,5.4
Ajit Varma,6.5
Ajita Suchitra Veera,8.1
Ajitpal Singh,6.8
Ajoy Varma,6.9
Akarsh Khurana,7.05
Akashdeep,3.5499999999999994
Akbar Khan,5.0
Akhil Gautam,7.9
Akhilesh Jaiswal,5.7
Akhilesh Verma,6.7
Akhtar Hussein,7.7
Akhtar Mirza,6.7
Akiv Ali,6.599999999999999
Akram Shaikh,3.1
Akshat Verma,6.3
Akshay Akkineni,6.2
Akshay Anand,4.8
Akshay Dinesh Vaishnav,6.9
Akshay Roy,6.0
Akshay Shere,6.0
Akshay Singh,8.4
Aku Akbar,3.5
Alankrita Shrivastava,5.671428571428572
Aleya Sen,3.7
Ali Abbas Zafar,5.2
Allyson Patel,5.599999999999999
