Name,Genre,GenreCluster
#Gadhvi (He thought he was Gandhi),Drama,1
#Yaaram,"Comedy, Romance",5
...Aur Pyaar Ho Gaya,"Comedy, Drama, Musical",3
...Yahaan,"Drama, Romance, War",6
?: A Question Mark,"Horror, Mystery, Thriller",0
@Andheri,"Action, Crime, Thriller",1
1:1.6 An Ode to Lost Love,Drama,1
1:13:7 Ek Tera Saath,Horror,0
100 Days,"Horror, Romance, Thriller",0
100% Love,"Comedy, Drama, Romance",5
102 Not Out,"Comedy, Drama",1
10ml LOVE,"Comedy, Drama, Romance",5
12 O'Clock,"Crime, Drama, Mystery",1
12 O'Clock,"Horror, Thriller",0
127 B,"Comedy, Horror",0
13B: Fear Has a New Address,"Drama, Horror, Mystery",0
15 Park Avenue,Drama,1
15th August,Drama,1
16 December,"Action, Thriller",1
18.11,Action,1
19 Revolutions,Drama,1
1920,"Horror, Mystery, Romance",0
1920 London,"Horror, Mystery",0
1920: Evil Returns,"Drama, Horror, Romance",0
1921,"Horror, Mystery, Romance",0
1942: A Love Story,"Action, Drama, History",1
1971,"Action, Drama, War",6
1978: A Teen Night Out,Thriller,1
1982 - A Love Marriage,Comedy,1
2 Nights in Soul Valley,"Adventure, Horror, Mystery",0
2 October,"Action, Crime, Thriller",1
2 States,"Comedy, Drama, Romance",5
2.0,"Action, Sci-Fi",1
2001: Do Hazaar Ek,"Crime, Mystery, Thriller",1
2016 the End,Comedy,1
22 Days,Thriller,1
22 June 1897,"Drama, History",1
22 Yards,Sport,7
23rd March 1931: Shaheed,"Biography, Drama, History",1
27 Down,Drama,1
3 AM: A Paranormal Experience,"Horror, Romance",0
3 Bachelors,"Comedy, Romance",5
3 Deewarein,"Crime, Drama",1
3 Dev,Comedy,1
3 Idiots,"Comedy, Drama",1
3 Storeys,Drama,1
3.0 Megapixel,"Adventure, Drama",4
31st October,"Action, Drama, History",1
36 China Town,"Comedy, Mystery, Thriller",1
36 Chowringhee Lane,"Drama, Romance",5
376 D,"Crime, Thriller",1
377 AbNormal,Drama,1
3D Saamri,Horror,0
3G: A Killer Connection,"Horror, Sci-Fi, Thriller",0
3rd EYE,Horror,0
404: Error Not Found,"Drama, Mystery, Thriller",1
417 Miles,Drama,1
498A-The Wedding Gift,"Drama, Family, Musical",3
5 Ghantey Mien 5 Crore,Thriller,1
5 Rifles,"Action, Comedy",1
5ters: Castle of Dark Master,"Action, Adventure, Fantasy",4
6-5=2,Horror,0
68 Pages,Drama,1
7 1/2 Phere: More Than a Wedding,"Comedy, Drama",1
7 Bijliyaan,Action,1
7 Hours to Go,"Crime, Thriller",1
7 Islands and a Metro,Documentary,1
7 Khoon Maaf,"Drama, Mystery, Thriller",1
7 Saal Baad,"Drama, Horror, Musical",3
706,Thriller,1
72 Hours: Martyr Who Never Died,"Action, Biography, Drama",1
8 x 10 Tasveer,"Action, Fantasy, Mystery",1
8119 Miles,"Adventure, Drama, Mystery",4
88 Antop Hill,"Mystery, Thriller",1
9 O' Clock,Action,1
99,"Comedy, Crime, Drama",1
99 Songs,"Musical, Romance",3
99.9 FM,"Crime, Drama",1
A Billion Colour Story,Drama,1
A Daughter's Tale PANKH,Drama,1
A Death in the Gunj,"Drama, Thriller",1
A Film by Aravind,"Horror, Mystery",0
A Flat,"Drama, Horror, Romance",0
A Flying Jatt,"Action, Adventure, Comedy",4
A Game Called Relationship,"Comedy, Romance",5
A Gentleman,"Action, Comedy",1
A Gift of Love: Sifar,"Drama, Romance",5
A Journey of Samyak Buddha,Drama,1
A New Love Ishtory,Romance,5
A Scandall,Thriller,1
A Sublime Love Story: Barsaat,"Drama, Romance",5
A Thin Line,Drama,1
A Wednesday,"Action, Crime, Drama",1
Aa Ab Laut Chalen,"Musical, Romance, Drama",3
AA BB KK,Drama,1
Aa Dekhen Zara,"Action, Sci-Fi, Thriller",1
Aa Gale Lag Jaa,"Action, Drama, Romance",5
Aa Gale Lag Jaa,"Mystery, Romance",5
Aa Gaya Hero,Action,1
Aa Jao Please,Drama,1
Aabra Ka Daabra,Fantasy,1
Aabroo,"Comedy, Crime, Drama",1
Aadamkhor,Horror,0
Aadat Se Majboor,"Action, Crime, Drama",1
Aadha Din Aadhee Raat,Action,1
Aadhaar,Drama,1
Aadharshila,Drama,1
Aadhi Bhagavan,"Action, Crime, Thriller",1
Aadhi Raat,"Drama, Romance",5
Aadmi,"Drama, Romance",5
Aadmi,"Action, Crime, Drama",1
Aadmi Aur Apsara,Fantasy,1
Aadmi Aur Insaan,"Drama, Romance, Thriller",5
Aadmi Khilona Hai,"Drama, Romance",5
Aadmi Ki Aurat Aur Anya Kahaniya,Drama,1
Aadmi Sadak Ka,"Drama, Family",1
Aadupuliyattam,Horror,0
Aafat,"Crime, Drama",1
Aag,"Musical, Romance",3
Aag,"Action, Comedy, Drama",1
Aag Aur Chingari,Action,1
Aag Hi Aag,Action,1
Aag Ka Gola,"Action, Drama",1
Aag Ka Toofaan,Action,1
Aag Ke Sholay,"Action, Thriller",1
Aag Se Khelenge,Action,1
Aage Maut Peeche Maut,Horror,0
Aagey Se Right,"Comedy, Crime, Drama",1
Aaghaaz,"Action, Crime, Drama",1
Aah,"Drama, Musical, Romance",3
Aahuti,"Action, Drama",1
Aaina,"Drama, Romance",5
Aaina,Drama,1
Aaj,Drama,1
Aaj Aur Kal,"Drama, Romance",5
Aaj Ka Andha Kanoon,Action,1
Aaj Ka Arjun,"Action, Crime, Drama",1
Aaj Ka Daur,"Action, Drama",1
Aaj Ka Goonda Raaj,"Action, Thriller",1
Aaj Ka Mahaatma,"Action, Romance",5
Aaj Ka Ravan,"Action, Crime",1
Aaj Ka Samson,"Action, Romance",5
Aaj Kaa M.L.A. Ram Avtar,"Action, Drama",1
Aaj Ke Angaarey,"Action, Drama",1
Aaj Ke Shahenshah,Action,1
Aaj Ki Awaz,"Action, Drama, Crime",1
Aaja Meri Jaan,Romance,5
Aaja Nachle,"Drama, Family, Music",1
Aaja Sanam,"Drama, Romance",5
Aakhree Raasta,"Action, Crime, Drama",1
Aakhri Adaalat,"Action, Thriller",1
Aakhri Baazi,"Action, Drama, Family",1
Aakhri Badla,"Action, Crime, Drama",1
Aakhri Ghulam,"Action, Crime, Drama",1
Aakhri Kasam,"Action, Thriller",1
Aakhri Khat,Drama,1
Aakhri Sangam,"Action, Romance",5
Aakhri Sanghursh,Action,1
Aakraman,"Drama, History, Romance",5
Aakrosh,"Crime, Drama, Music",1
Aakrosh,"Action, Crime, Thriller",1
Aalaap,Sci-Fi,1
Aalavandhan,"Action, Thriller",1
Aalwar,Action,1
Aamaar Bhuvan,"Drama, Family",1
Aamdani Atthanni Kharcha Rupaiya,"Comedy, Drama, Family",1
Aamir,"Action, Crime, Drama",1
Aamne - Saamne,"Crime, Mystery, Romance",5
Aamne Samne,"Action, Crime, Drama",1
Aan Aur Shaan,Drama,1
Aan Milo Sajna,"Drama, Musical, Romance",3
Aan: Men at Work,"Action, Crime, Drama",1
Aanch,Drama,1
Aanchal,"Action, Drama, Family",1
Aandhi,"Drama, Romance",5
Aandhi-Toofan,Drama,1
Aandhiyan,Drama,1
Aandhiyan,Drama,1
Aani Maani,Drama,1
Aankhen,"Action, Comedy, Crime",1
Aankhen,"Crime, Drama, Thriller",1
Aankhon Aankhon Mein,"Drama, Romance",5
Aansoo Aur Muskan,"Comedy, Drama, Family",1
Aao Pyaar Karen,Romance,5
Aao Wish Karein,"Comedy, Family, Fantasy",1
Aap Aye Bahaar Ayee,"Comedy, Drama, Romance",5
Aap Beati,"Drama, Family",1
Aap Ki Kasam,"Romance, Drama",5
Aap Ki Khatir,"Action, Comedy, Drama",1
Aap Ki Khatir,"Comedy, Romance",5
Aap Ki Parchhaiyan,"Drama, Family, Romance",5
Aap Mujhe Achche Lagne Lage,"Action, Drama, Romance",5
Aap To Aise Na The,"Romance, Drama, Family",5
Aapas Ki Baat,"Action, Romance",5
Aapko Pehle Bhi Kahin Dekha Hai,"Action, Comedy, Drama",1
Aar Paar,Action,1
Aar Ya Paar,Thriller,1
Aarakshan,"Drama, Thriller",1
Aarop,Drama,1
Aar-Paar,"Musical, Romance, Thriller",3
Aarti,"Family, Musical, Romance",3
Aarya,"Action, Drama, Romance",5
Aarzoo,"Drama, Romance",5
Aasha,"Comedy, Romance",5
Aasha,"Drama, Musical, Romance",3
Aashayein,Drama,1
Aashiq,Romance,5
Aashiq,"Action, Drama, Romance",5
Aashiq Banaya Aapne: Love Takes Over,"Drama, Romance, Thriller",5
Aashiq Hoon Baharon Ka,Romance,5
Aashiqui,"Musical, Drama, Romance",3
Aashiqui 2,"Drama, Music, Musical",3
Aashiqui.In,"Drama, Romance",5
Aashirwad,Drama,1
Aashmani Jawaharat,Drama,1
Aasma,"Action, Crime, Drama",1
Aasma: The Sky Is the Limit,Drama,1
Aasmaan,"Drama, Mystery",1
Aasmaan Mahal,Drama,1
Aasmaan Se Gira,"Adventure, Comedy, Romance",4
Aasoo Bane Angaarey,Action,1
Aasra,"Drama, Family",1
Aastha: In the Prison of Spring,Drama,1
Aatank,"Action, Thriller",1
Aatank Hi Aatank,"Action, Crime, Drama",1
Aathi,"Action, Drama, Thriller",1
Aatish,Action,1
Aatish: Feel the Fire,"Action, Crime, Drama",1
Aatma,"Crime, Drama, Horror",0
Aatma,"Drama, Horror, Thriller",0
Aavida Maa Aavide,"Comedy, Romance",5
Aavishkar,"Drama, Romance",5
Aawaz,Romance,5
Aaya Toofan,"Action, Adventure, Fantasy",4
Aaya Toofan,Action,1
Aaye Din Bahar Ke,"Musical, Romance",3
Aazaan,"Action, Musical, Thriller",3
Aazmayish,"Action, Drama, Romance",5
Ab Ayega Mazaa,Comedy,1
Ab Dilli Dur Nahin,Drama,1
Ab Hoga Dharna Unlimited,Comedy,1
Ab Insaf Hoga,"Action, Drama",1
Ab Tak Chhappan,"Action, Crime, Drama",1
Ab Tak Chhappan 2,"Action, Crime, Thriller",1
Ab To Aaja Saajan Mere,"Drama, Romance",5
Ab Tumhare Hawale Watan Saathiyo,"Action, Drama, War",6
Ab... Bas!,"Romance, Thriller",5
ABCD (Any Body Can Dance),"Drama, Music",1
Abdullah,"Action, Drama, Romance",5
Abe Hayat,"Action, Adventure, Fantasy",4
Abhay,Fantasy,1
Abhi To Jee Lein,"Action, Drama, Thriller",1
Abhilasha,"Drama, Romance",5
Abhimaan,"Drama, Musical",3
Abhimanyu,"Crime, Drama, Musical",3
Abhimanyu,"Action, Comedy, Drama",1
Abhinetri,"Drama, Romance",5
Abodh,Drama,1
Accident on Hill Road,"Crime, Drama, Thriller",1
Achanak,"Crime, Drama",1
Achanak,"Action, Mystery, Thriller",1
Achhut Kanya,"Drama, Musical, Romance",3
Acid Factory,"Action, Crime, Mystery",1
Action,"Action, Adventure, Thriller",4
Action Jackson,"Action, Crime, Thriller",1
Action Replayy,"Comedy, Romance, Sci-Fi",5
Ada... A Way of Life,"Action, Crime, Drama",1
Adalat,"Drama, Musical, Romance",3
Adalat,"Action, Drama, Family",1
Adhi Raat Ke Baad,"Action, Drama, Mystery",1
Adhikar,"Comedy, Drama, Romance",5
Adhipathi,"Action, Drama",1
Adhura Sapna,Drama,1
Adhurs,"Action, Comedy, Thriller",1
Adi Shankaracharya,"Biography, Drama",1
Adil-E-Jahangir,Drama,1
Adisaya Piravi,"Action, Comedy, Fantasy",1
Adrishya,"Drama, Family, Horror",0
Adutha Varisu,Drama,1
Adventure Kids Hindi Film,Adventure,4
Adventures of Aladdin,Adventure,4
Adventures of Ali-Baba and the Forty Thieves,"Action, Adventure, Family",4
Adventures of Tarzan,"Action, Adventure, Comedy",4
Ae Dil Hai Mushkil,"Drama, Music, Musical",3
Aetbaar,"Action, Drama, Musical",3
Aflatoon,"Action, Comedy, Crime",1
Africadalli Sheela,"Adventure, Thriller",4
Afsana,"Drama, Romance",5
Afsana,"Drama, Family",1
Afsana Dilwalon Ka,"Drama, Romance",5
Afsana Pyar Ka,"Drama, Romance",5
Afsar,"Comedy, Romance",5
After the Third Bell,"Crime, Mystery",1
Agar Tum Na Hote,"Drama, Family",1
Agathiyar,"Adventure, Comedy, Drama",4
Agent Vinod,"Action, Crime, Drama",1
Agent Vinod,"Action, Adventure, Thriller",4
Aghaat,"Drama, Crime",1
Agnee,"Action, Drama, Romance",5
Agnee Morcha,Action,1
Agneekaal,"Action, Crime, Drama",1
Agneepath,"Action, Crime, Drama",1
Agneepath,"Action, Crime, Drama",1
Agni IPS,Action,1
Agni Pareeksha,"Crime, Drama",1
Agni Sakshi,"Drama, Musical, Romance",3
Agnichakra,Action,1
Agniputra,Action,1
Agnivarsha: The Fire and the Rain,"Drama, Fantasy, Romance",5
Agreement,"Musical, Comedy, Drama",3
Agyaat,"Drama, Horror, Mystery",0
Ahaan,"Comedy, Drama",1
Ahankaar,Drama,1
Ahinsa,"Action, Drama",1
Ahista Ahista,"Musical, Romance",3
Ahista Ahista,"Drama, Romance",5
Ahsaas,"Drama, Romance",5
Airlift,"Drama, History",1
Aisa Yeh Jahaan,Drama,1
Aisha,"Comedy, Drama, Romance",5
Aisi Bhi Kya Jaldi Hai,"Comedy, Romance",5
Aisi Deewangi,"Action, Comedy, Drama",1
Aitbaar,"Romance, Thriller",5
Aitraaz,"Drama, Romance, Thriller",5
Aiyaary,"Action, Drama, Thriller",1
Aiyyaa,"Comedy, Romance",5
Ajab Gazabb Love,"Comedy, Romance",5
Ajab Prem Ki Ghazab Kahani,"Action, Comedy, Romance",5
Ajab Singh Ki Gajab Kahani,Drama,1
Ajanabee,"Drama, Romance",5
Ajay,"Action, Drama, Romance",5
Ajeeb Daastaans,"Drama, Romance",5
Ajji,Drama,1
Ajnabee,"Action, Crime, Drama",1
Ajooba,"Action, Adventure, Comedy",4
AK 47,"Action, Thriller",1
AK vs AK,"Action, Comedy, Crime",1
Akaash Vani,"Drama, Romance",5
Akashdeep,Drama,1
Akayla,"Action, Drama, Thriller",1
Akbar Saleem Anarkali,"Drama, History, Musical",3
Akela the Alone,Thriller,1
Akele Hum Akele Tum,Drama,1
Akeli,Romance,5
Akhiyon Se Goli Maare,"Comedy, Romance",5
Akhri Muqabla,"Action, Drama",1
Aks,"Action, Crime, Horror",0
Aksar,"Drama, Romance, Thriller",5
Aksar 2,"Crime, Drama, Mystery",1
Alaap,"Drama, Musical",3
Aladdin and the Wonderful Lamp,"Adventure, Fantasy",4
Aladin,"Action, Adventure, Comedy",4
Alag Alag,"Family, Musical, Romance",3
Alag: He Is Different.... He Is Alone...,"Action, Drama, Fantasy",1
Alajh Palajh,Comedy,1
Alam Ara,Drama,1
Alavuddinum Athbutha Vilakkum,"Adventure, Drama, Fantasy",4
Albela,"Comedy, Drama, Romance",5
Albela,"Comedy, Drama, Musical",3
Albert Pinto Ko Gussa Kyon Ata Hai,"Comedy, Drama, Romance",5
Albert Pinto Ko Gussa Kyun Aata Hai?,Drama,1
Alex's Strip,Drama,1
Ali Baba and 40 Thieves,"Adventure, Fantasy, Romance",4
Alibaba and 40 Thieves,"Action, Adventure, Drama",4
Alibaba Marjinaa,"Action, Adventure",4
